score,parameters
0.5487867798952484,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
0.5727716929967569,"{'min_samples_leaf': 2, 'min_samples_split': 15}"
0.5954711366375947,"{'min_samples_leaf': 2, 'min_samples_split': 30}"
0.5812526797486324,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
0.5893989690140049,"{'min_samples_leaf': 4, 'min_samples_split': 15}"
0.6023009347722452,"{'min_samples_leaf': 4, 'min_samples_split': 30}"
0.6037040847114425,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
0.6055519799011257,"{'min_samples_leaf': 6, 'min_samples_split': 15}"
0.6113418951384981,"{'min_samples_leaf': 6, 'min_samples_split': 30}"
0.6100980693783334,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
0.6108183345989171,"{'min_samples_leaf': 8, 'min_samples_split': 15}"
0.6139707718049248,"{'min_samples_leaf': 8, 'min_samples_split': 30}"
